Rk,Player,Tkl/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Tkl/90,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Pos
464,Santiago Pierotti,2.1,2024-2025,23,ar ARG,Lecce,it Serie A,36,1937,21.5,22,14,1,0.2,0.1,0.3,0.2,0,0,0,2.1,1.1,1,0.8,0.3,1.1,2.4,45.1,1.3,1.4,0.2,1.2,0.7,2.8,1.5,0,FW
465,Reda Belahyane,2.1,2024-2025,20,ma MAR,2 Teams,it Serie A,28,1856,20.6,18,10,8,0,0.1,0.1,0,0,0,0,2.1,1.6,1.2,0.6,0.3,0.9,1.1,82.6,0.2,1.1,0.5,0.6,0.5,2.7,1.3,0,MF
466,Jordan Ferri,2.1,2024-2025,32,fr FRA,Montpellier,fr Ligue 1,25,1773,19.7,21,4,1,0,0.1,0.1,0,0,0,0,2.1,1.2,0.9,1.1,0.1,0.9,2.2,40.9,1.3,1,0.2,0.9,0.5,2.6,1,0,MF
467,Loïc Nego,2.1,2024-2025,33,hu HUN,Le Havre,fr Ligue 1,31,2459,27.3,28,3,3,0,0,0,0,0,0,0,2.1,1.3,1.4,0.6,0.2,1.5,2.3,64.1,0.8,0.6,0.1,0.5,1.1,3.2,3,0,"DF,FW"
468,Théo Sainte-Luce,2.1,2024-2025,25,fr FRA,Montpellier,fr Ligue 1,16,1018,11.3,11,5,4,0.1,0,0.1,0.1,0,0,0,2.1,1,1.4,0.4,0.4,1.4,2.9,48.5,1.5,1.4,0.4,1.1,1.1,3.2,2.9,0.1,DF
469,Philipp Sander,2.1,2024-2025,26,de GER,Gladbach,de Bundesliga,27,1400,15.6,16,11,1,0.1,0,0.1,0.1,0,0,0,2.1,1.1,1,1,0.1,0.6,1.5,43.5,0.8,1,0.5,0.6,1.5,3.6,2.8,0.2,MF
470,Mathias Pereira Lage,2.1,2024-2025,27,pt POR,Brest,fr Ligue 1,29,1571,17.5,18,11,5,0.1,0.4,0.5,0.1,0,0,0,2.1,1.4,0.9,0.7,0.5,1,2.2,46.2,1.2,1,0.1,0.9,1.1,3.3,1.1,0.1,"FW,MF"
471,Georginio Rutter,2.1,2024-2025,22,fr FRA,Brighton,eng Premier League,28,1656,18.4,19,9,0,0.3,0.2,0.4,0.3,0,0,0,2.1,0.8,0.7,1,0.4,0.8,2,38.9,1.2,1.1,0.2,0.9,0.5,2.7,0.7,0.1,"MF,FW"
472,Léo Pétrot,2.1,2024-2025,27,fr FRA,Saint-Étienne,fr Ligue 1,31,2634,29.3,29,2,1,0,0.1,0.1,0,0,0,0,2.1,1.3,1.3,0.6,0.2,1.2,1.7,66.7,0.6,1.7,0.9,0.8,1.4,3.6,3.5,0,DF
473,Fran Garcia,2.1,2024-2025,24,es ESP,Real Madrid,es La Liga,31,2171,24.1,24,7,7,0,0.1,0.1,0,0,0,0,2.1,1.5,1.2,0.7,0.2,1.2,2.1,54.9,1,1.1,0.2,0.9,1.2,3.3,2.8,0,DF
