,,,,,,,,Playing Time,,,,,,Performance,,,,,,,Total,,,,,,,,,,Short,,,Medium,,,Long,,,
Rk,Player,Cmp/90,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Cmp/90,Att,Cmp%,KP,03-Jan,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Pos
451,Jordan Veretout,45.9,2024-2025,31,fr FRA,Lyon,fr Ligue 1,27,1553,17.3,19,8,4,0.1,0,0.1,0.1,0,0,0,45.9,54.7,83.9,0.8,5,0.7,0,5.7,768.3,201.2,22,24.6,89.6,19.5,22.4,87.3,3.5,5.3,65.2,MF
452,Mattia Bani,45.9,2024-2025,30,it ITA,Genoa,it Serie A,20,1507,16.7,19,1,4,0,0,0,0,0,0,0,45.9,52.5,87.4,0.1,1.1,0.1,0.1,1.5,926.6,327.9,12.2,13.4,91.1,28,30,93.2,5.3,8.1,64.7,DF
453,Theo Hernández,45.8,2024-2025,26,fr FRA,Milan,it Serie A,33,2696,30,30,3,2,0.1,0.1,0.2,0.1,0,0,0,45.8,54.7,83.8,1.6,3.2,1.1,0.4,4.4,730.5,225.3,24.3,26.4,91.9,17.6,19.9,88.6,2.9,5.8,49.7,DF
454,Benjamin Bouchouari,45.8,2024-2025,22,ma MAR,Saint-Étienne,fr Ligue 1,25,1772,19.7,20,5,2,0.1,0,0.1,0.1,0,0,0,45.8,52.8,86.7,0.8,6.2,1.2,0.1,6.8,644.3,222,27.7,30.6,90.5,14.5,16.2,89.7,1.7,2.4,70.2,MF
455,Kenny Lala,45.8,2024-2025,32,mg MAD,Brest,fr Ligue 1,30,2686,29.8,29,1,2,0.1,0.1,0.2,0,0.1,0.1,0,45.8,60.2,76.1,1.4,4.2,1.3,0.4,4.6,913.7,347,17.4,20.2,86,20.6,25.4,81,7.4,12.4,59.5,DF
456,Hugo Álvarez,45.7,2024-2025,21,es ESP,Celta Vigo,es La Liga,26,1572,17.5,16,10,8,0.2,0.2,0.4,0.2,0,0,0,45.7,58,78.9,1,2,0.9,0.2,3.4,699,186.4,24.6,28.2,87.2,18.3,22,82.9,1.8,3.3,56.1,"MF,DF"
457,Marcos Senesi,45.7,2024-2025,27,ar ARG,Bournemouth,eng Premier League,17,1106,12.3,13,4,4,0,0,0,0,0,0,0,45.7,59.8,76.3,0.2,6.4,1.1,0.2,5,938.7,473.2,16.2,18.6,87.3,21.7,25.3,85.9,7.2,14.6,49.4,DF
458,Luca Pellegrini,45.6,2024-2025,25,it ITA,Lazio,it Serie A,22,1067,11.9,10,12,5,0,0.3,0.3,0,0,0,0,45.6,60.5,75.5,1.7,5.3,1.8,1,6.1,790.9,281,22.7,25.6,88.5,18.3,24,76.4,4.2,8.4,50,DF
459,Max Kilman,45.6,2024-2025,27,eng ENG,West Ham,eng Premier League,38,3348,37.2,38,0,0,0,0,0,0,0,0,0,45.6,52.6,86.7,0.4,2.9,0.1,0,3,876.1,290.9,14.7,16,91.9,26.6,28.6,93,4,7.1,56.6,DF
460,Michel Aebischer,45.5,2024-2025,27,ch SUI,Bologna,it Serie A,14,724,8,9,5,10,0,0,0,0,0,0,0,45.5,52.1,87.4,1,5.1,0.6,0.2,4.1,812.6,180.5,20.5,22.3,92.2,19,21,90.5,5.1,6.6,77.4,MF
461,Marin Pongra?i?,45.5,2024-2025,26,hr CRO,Fiorentina,it Serie A,20,1367,15.2,14,6,8,0,0,0,0,0,0,0,45.5,51,89.2,0.3,2.8,0.2,0,2.2,921.7,308.9,12.5,13.6,91.8,26.7,28.3,94.2,5.6,7.7,72.6,DF
462,Alessandro Bianco,45.5,2024-2025,21,it ITA,2 Teams,it Serie A,35,2618,29.1,29,6,2,0,0,0,0,0,0,0,45.5,52.8,86.1,0.6,4.8,0.6,0.1,4.3,894.1,221.9,14.7,16.8,87.9,24.1,25.9,93.1,5.6,7.7,72.4,MF
463,Destiny Udogie,45.5,2024-2025,21,it ITA,Tottenham,eng Premier League,25,1924,21.4,24,1,5,0,0,0,0,0,0,0,45.5,52.2,87.2,0.7,4.2,0.3,0,5.7,660.4,223.1,25.4,27.9,91.1,17.4,19.3,90,1.2,1.5,78.8,DF
464,Miguel Gutiérrez,45.4,2024-2025,23,es ESP,Girona,es La Liga,29,2458,27.3,29,0,1,0,0.2,0.2,0,0,0,0,45.4,55,82.6,1.5,2.2,1.9,1,3.8,749.3,177.5,23.7,25.6,92.4,17.3,20.2,85.5,3.4,6,57.1,"DF,MF"
465,Daniel Svensson,45.4,2024-2025,22,se SWE,Dortmund,de Bundesliga,12,781,8.7,8,4,0,0.1,0.3,0.5,0.1,0,0,0,45.4,57.3,79.3,1.2,3.3,1.3,0.5,4.7,731.3,261.1,23.9,26.2,91.2,17.6,20.9,84.5,3.2,6.7,48.3,"DF,FW"
